	url	title
107	/wiki/Battle_of_Tanagra_(426_BC)	Battle of Tanagra (426 BC)
108	/wiki/Battle_of_Olpae	Battle of Olpae
109	/wiki/Battle_of_Idomene	Battle of Idomene
110	/wiki/Battle_of_Pylos	Battle of Pylos
111	/wiki/Battle_of_Sphacteria	Battle of Sphacteria
112	/wiki/Battle_of_Megara	Battle of Megara
113	/wiki/Battle_of_Delium	Battle of Delium
114	/wiki/Battle_of_Amphipolis	Battle of Amphipolis
115	/wiki/Battle_of_Mantinea_(418_BC)	Battle of Mantinea (418 BC)
116	/wiki/Battle_of_Hysiae_(417_BC)	Battle of Hysiae (417 BC)
117	/wiki/Battle_of_Melos	Battle of Melos
118	/wiki/Battle_of_Syracuse_(415_BC)	Battle of Syracuse (415 BC)
119	/wiki/Battle_of_Eretria	Battle of Eretria
120	/wiki/Battle_of_Syme	Battle of Syme
121	/wiki/Battle_of_Cynossema	Battle of Cynossema
122	/wiki/Battle_of_Cyzicus	Battle of Cyzicus
123	/wiki/Battle_of_Abydos	Battle of Abydos
124	/wiki/Battle_of_Selinus	Battle of Selinus
125	/wiki/Battle_of_Himera_(409_BC)	Battle of Himera (409 BC)
126	/wiki/Battle_of_Notium	Battle of Notium
127	/wiki/Battle_of_Mytilene_(406_BC)	Battle of Mytilene (406 BC)
128	/wiki/Battle_of_Arginusae	Battle of Arginusae
129	/wiki/Siege_of_Akragas_(406_BC)	Siege of Akragas (406 BC)
130	/wiki/Battle_of_Gela_(405_BC)	Battle of Gela (405 BC)
131	/wiki/Battle_of_Aegospotami	Battle of Aegospotami
132	/wiki/Battle_of_Phyle	Battle of Phyle
133	/wiki/Battle_of_Munychia	Battle of Munychia
134	/wiki/Battle_of_Piraeus	Battle of Piraeus
135	/wiki/Battle_of_Cunaxa	Battle of Cunaxa
136	/wiki/Siege_of_Motya	Siege of Motya
137	/wiki/Battle_of_Messene	Battle of Messene
138	/wiki/Battle_of_Catana_(397_BC)	Battle of Catana (397 BC)
139	/wiki/Siege_of_Syracuse_(397_BC)	Siege of Syracuse (397 BC)
140	/wiki/Battle_of_Veii	Battle of Veii
141	/wiki/Battle_of_Haliartus	Battle of Haliartus
142	/wiki/Battle_of_Nemea_(394_BC)	Battle of Nemea (394 BC)
143	/wiki/Battle_of_Cnidus	Battle of Cnidus
144	/wiki/Battle_of_Coronea_(394_BC)	Battle of Coronea (394 BC)
145	/wiki/Siege_of_Tauromenium_(394_BC)	Siege of Tauromenium (394 BC)
146	/wiki/Battle_of_Lechaeum	Battle of Lechaeum
147	/wiki/Battle_of_the_Allia	Battle of the Allia
148	/wiki/Battle_of_the_Elleporus	Battle of the Elleporus
149	/wiki/Siege_of_Theodosia_(389_BC)	Siege of Theodosia (389 BC)
150	/wiki/Siege_of_Rhegium	Siege of Rhegium
151	/wiki/Battle_of_Labrytai	Battle of Labrytai
152	/wiki/Battle_of_Naxos	Battle of Naxos
153	/wiki/Battle_of_Tegyra	Battle of Tegyra
154	/wiki/Battle_of_Leuctra	Battle of Leuctra
155	/wiki/Siege_of_Theodosia_(c._365_BC)	Siege of Theodosia (c. 365 BC)
156	/wiki/Battle_of_Cynoscephalae_(364_BC)	Battle of Cynoscephalae (364 BC)
157	/wiki/Battle_of_Mantinea_(362_BC)	Battle of Mantinea (362 BC)
158	/wiki/Siege_of_Theodosia_(c._360_BC)	Siege of Theodosia (c. 360 BC)
159	/wiki/Battle_of_Embata	Battle of Embata
160	/wiki/Battle_of_Crocus_Field	Battle of Crocus Field
161	/wiki/Battle_of_Guiling	Battle of Guiling
162	/wiki/Battle_of_Pelusium_(343_BC)	Battle of Pelusium (343 BC)
163	/wiki/Battle_of_Mount_Gaurus	Battle of Mount Gaurus
164	/wiki/Battle_of_Maling	Battle of Maling
165	/wiki/Battle_of_Suessula	Battle of Suessula
166	/wiki/Battle_of_the_Crimissus	Battle of the Crimissus
168	/wiki/Battle_of_Vesuvius	Battle of Vesuvius
169	/wiki/Battle_of_Chaeronea_(338_BC)	Battle of Chaeronea (338 BC)
170	/wiki/Battle_of_Trifanum	Battle of Trifanum
171	/wiki/Siege_of_Pelium	Siege of Pelium
172	/wiki/Battle_of_Thebes	Battle of Thebes
173	/wiki/Battle_of_the_Granicus	Battle of the Granicus
174	/wiki/Siege_of_Miletus	Siege of Miletus
175	/wiki/Siege_of_Halicarnassus	Siege of Halicarnassus
176	/wiki/Battle_of_Issus	Battle of Issus
178	/wiki/Siege_of_Tyre_(332_BC)	Siege of Tyre (332 BC)
179	/wiki/Siege_of_Gaza	Siege of Gaza
180	/wiki/Battle_of_Pandosia	Battle of Pandosia
181	/wiki/Battle_of_Megalopolis	Battle of Megalopolis
182	/wiki/Battle_of_Gaugamela	Battle of Gaugamela
183	/wiki/Battle_of_the_Persian_Gate	Battle of the Persian Gate
184	/wiki/Siege_of_Cyropolis	Siege of Cyropolis
185	/wiki/Capture_of_Neapolis	Capture of Neapolis
186	/wiki/Siege_of_the_Sogdian_Rock	Siege of the Sogdian Rock
187	/wiki/Siege_of_Aornos	Siege of Aornos
188	/wiki/Battle_of_the_Hydaspes	Battle of the Hydaspes
189	/wiki/Battle_of_Plataea_(323_BC)	Battle of Plataea (323 BC)
190	/wiki/Battle_of_Amorgos	Battle of Amorgos
191	/wiki/Battle_of_the_Echinades_(322_BC)	Battle of the Echinades (322 BC)
192	/wiki/Battle_of_Crannon	Battle of Crannon
193	/wiki/Battle_of_the_Caudine_Forks	Battle of the Caudine Forks
194	/wiki/Battle_of_the_Hellespont_(321_BC)	Battle of the Hellespont (321 BC)
195	/wiki/Battle_of_Orkynia	Battle of Orkynia
196	/wiki/Battle_of_Cretopolis	Battle of Cretopolis
198	/wiki/Battle_of_Paraitacene	Battle of Paraitacene
199	/wiki/Siege_of_Megalopolis	Siege of Megalopolis
200	/wiki/Battle_of_Byzantium	Battle of Byzantium
201	/wiki/Battle_of_Paraitakene	Battle of Paraitakene
202	/wiki/Battle_of_Lautulae	Battle of Lautulae
203	/wiki/Battle_of_Gabiene	Battle of Gabiene
